id,@id,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,bench,bin,brand,brand:wikidata,bus,bus_stop,check_date:bin,check_date:lit,check_date:shelter,check_date:tactile_paving,covered,departures_board,description,former_name,highway,kerb,kerb:approach_aid,layer,level,lit,local_ref,material,name,name:en,name:es,network,network:short,network:wikidata,network:wikipedia,not:network:wikidata,note,opening_hours:covid19,operator,operator:short,operator:wikidata,operator:wikipedia,passenger_information_display,phone,public_transport,public_transport:version,ref,ref:signed,route,route_ref,seats,shade,shelter,source,source_ref,stop_id,surface,tactile_paving,towards,type,website,wheelchair,wheelchair:description,wikidata,wikipedia
node/349443839,node/349443839,,,,,,,,,,,yes,,,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,stop_position,,,,,,,,,,,,,,,,,,,,
node/368062538,node/368062538,,,,,,,,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Foothill Transit 498,,,Foothill Transit,,Q5466493,en:Foothill Transit,,,,,,,,,,platform,,,,,"489;487;489;490;484",,,no,,,,,,,,,,,,
node/496615367,node/496615367,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Weyburn Terrace,,,"Bruin Bus;Big Blue Bus",,Q4905149,en:Big Blue Bus,,,,"Bruin Bus;Big Blue Bus",,Q47164,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/566578357,node/566578357,,,,,,,,,,,yes,,,,,,,,,,bus_stop,,,,,,,,"Lot 32;Kinross",,,"Big Blue Bus;Culver CityBus;Long Beach Transit",,"Q4905149;Q5193719;Q6672372","en:Big Blue Bus;en:Culver CityBus;en:Long Beach Transit",,,,"Big Blue Bus;Culver City;Long Beach Transit",,,,,,platform,,"5254",,,"6;18;405",,,yes,,,,,,,,,,,,
node/581233888,node/581233888,,,,,,,,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Manchester / Gulana,,,Metro Local,,Q77610,,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,,,,platform,,"16089",,,"115",,,no,,,,,,,,,,,,
node/607902549,node/607902549,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,4th & Chicago,,,Montebello Bus Lines,,Q6905005,,,,,City of Montebello,,Q664503,,,,platform,,,,,"40",,,no,,,,,,,,,,,,
node/607902559,node/607902559,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,4th & Evergreen,,,"Metro Local;Montebello Bus Lines",,"Q77610;Q6905005",,,,,"Los Angeles County Metropolitan Transportation Authority;City of Montebello",,"Q3259702;Q664503",,,,platform,,,,,"605;40",,,no,,,,,,,,,,,,
node/607902563,node/607902563,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,4th & Fresno,,,"Metro Local;Montebello Bus Lines",,"Q77610;Q6905005",,,,,"Los Angeles County Metropolitan Transportation Authority;City of Montebello",,"Q3259702;Q664503",,,,platform,,,,,"605;40",,,no,,,,,,,,,,,,
node/607954831,node/607954831,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,4th & Gless,,,Montebello Bus Lines,,Q6905005,,,,,City of Montebello,,Q664503,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/607954832,node/607954832,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,4th & Gless,,,Montebello Bus Lines,,Q6905005,,,,,City of Montebello,,Q664503,,,,platform,,,,,"40",,,yes,,,,,,,,,,,,
node/607992227,node/607992227,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Los Angeles,,,Montebello Bus Lines,,Q6905005,en:Montebello Bus Lines,,,,City of Montebello,,Q664503,"en:Montebello, California",,,platform,,,,,,,,no,,AM909_DSCR0359,,,,,,,,,,
